procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 549920 158984  42244 1688756   79    0   105   194  471 1803 14  1 84  1  0
 1  0 549868 165760  42260 1683868   80    0   106   198  533 1990 19  2 79  1  0
 1  0 549828 230048  42272 1680128    7    0     9   251  510 1894 17  1 82  0  0
 2  0 549812 203900  42320 1680148    5    0     6   236  640 2305 18  1 80  0  0
 0  0 549804 201240  42328 1687144    3    0     4   177  798 2835 26  2 71  0  0
 1  0 549780 214180  42348 1663736    2    0     3   168  705 2546 28  2 70  0  0
 1  0 549748 219372  43824 1664968    4    0   145   192  805 2207 38  2 59  1  0
 2  0 549724 206344  43856 1664764    5    0   158   232  923 2087 45  2 52  1  0
 5  0 549696 213340  43872 1663288    5    0    29   218  834 1774 42  2 56  1  0
 1  0 549500 193872  43880 1670860    6    0    23   168  860 1748 41  2 57  0  0
 2  1 549468 259120  44572 1666612   12    0   195   186 1111 2425 46  3 50  1  0
 3  0 549164 269000  44620 1659744   48    0   238   251 1137 2828 49  3 46  3  0
 2  0 540996 320372  44644 1658436  433    0   693   292 1124 3162 52  3 39  6  0
 1  1 532524 387344  44836 1646920  738    0  1022   145 1088 3005 46  3 36 16  0
 1  8 475976 1271508  45776 1626308  857    0  2020    98  947 2529 35  2 35 27  0
 0  8 354264 1546844  48456 1591592 2035    0  3354   501  877 2467 16  2 12 70  0
